,0,1
0,ILSVRC2012_val_00001470.JPEG,"[False, False, False, False, False, False, False, True, False, False, False, False, True, True, False, True]"
1,ILSVRC2012_val_00041922.JPEG,"[True, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False]"
2,ILSVRC2012_val_00023283.JPEG,"[True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False]"
3,ILSVRC2012_val_00010411.JPEG,"[False, False, False, False, True, True, False, False, False, True, True, False, False, False, False, False]"
4,ILSVRC2012_val_00049179.JPEG,"[False, False, False, False, False, False, True, False, False, False, False, True, True, False, False, True]"
5,ILSVRC2012_val_00003808.JPEG,"[True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False]"
6,ILSVRC2012_val_00017515.JPEG,"[True, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False]"
7,ILSVRC2012_val_00030756.JPEG,"[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8,ILSVRC2012_val_00030263.JPEG,"[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
9,ILSVRC2012_val_00030540.JPEG,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
10,ILSVRC2012_val_00025106.JPEG,"[True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, True]"
11,ILSVRC2012_val_00036975.JPEG,"[False, True, False, False, False, False, False, True, False, False, True, False, False, False, False, False]"
12,ILSVRC2012_val_00014415.JPEG,"[False, True, False, True, True, True, False, False, False, True, True, False, False, True, False, False]"
13,ILSVRC2012_val_00030117.JPEG,"[False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False]"
14,ILSVRC2012_val_00026219.JPEG,"[True, False, False, True, True, False, False, False, False, True, False, False, False, False, False, False]"
15,ILSVRC2012_val_00040913.JPEG,"[False, False, False, False, False, False, False, True, False, True, True, False, True, False, False, False]"
16,ILSVRC2012_val_00021882.JPEG,"[True, False, False, True, False, True, False, False, False, True, False, False, False, False, False, False]"
17,ILSVRC2012_val_00040002.JPEG,"[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
18,ILSVRC2012_val_00009634.JPEG,"[False, True, False, True, False, False, False, False, False, True, False, False, False, False, False, False]"
19,ILSVRC2012_val_00015178.JPEG,"[False, False, False, False, False, False, False, False, True, True, True, False, False, False, True, False]"
20,ILSVRC2012_val_00039246.JPEG,"[False, False, False, False, False, True, False, False, True, True, True, False, True, True, False, False]"
21,ILSVRC2012_val_00007306.JPEG,"[False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False]"
22,ILSVRC2012_val_00003768.JPEG,"[False, False, False, False, False, True, False, False, False, True, False, False, True, False, False, False]"
23,ILSVRC2012_val_00018867.JPEG,"[False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False]"
24,ILSVRC2012_val_00023750.JPEG,"[True, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False]"
25,ILSVRC2012_val_00049472.JPEG,"[False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False]"
26,ILSVRC2012_val_00021683.JPEG,"[True, True, False, False, False, False, True, False, False, True, False, False, False, False, False, False]"
27,ILSVRC2012_val_00040676.JPEG,"[True, True, False, False, False, False, False, True, False, True, True, False, False, False, False, False]"
28,ILSVRC2012_val_00015410.JPEG,"[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]"
29,ILSVRC2012_val_00046002.JPEG,"[False, False, False, False, True, True, False, False, False, True, True, False, False, False, False, False]"
